,coefficient,std_error,p_value,ci_low,ci_high
Intercept,-12.418561277020395,3.4792576602432033,0.0003579179349992984,-19.23778098403217,-5.599341570008621
log2_size,0.09319311600559554,0.2375165147014078,0.6947887023893627,-0.372330698542642,0.5587169305538331
price,236.2523264025363,73.52312561299523,0.0013121624925255789,92.14964817025128,380.35500463482134
price_sq,-1363.2278432558905,530.9191667608636,0.010238311190061055,-2403.810288809198,-322.64539770258284
log_volume,-0.062046495564123456,0.07607036586109811,0.4147025874804141,-0.211141672942661,0.08704868181441411
days_to_resolution,-0.014725505888672025,0.007766718265274263,0.057963312502959004,-0.029947993966678986,0.0004969821893349366
days_missing,-18.34312134590855,0.7607963407514801,1.9435235906424927e-128,-19.83425477335131,-16.851987918465788
