,coefficient,std_error,p_value,ci_low,ci_high
Intercept,-12.418561277020395,4.606845264097621,0.007024599977593056,-21.447812077000645,-3.3893104770401443
log2_size,0.09319311600559554,0.2705113712317152,0.7304648796509936,-0.43699942901711075,0.6233856610283018
price,236.2523264025363,73.7888718454686,0.0013660316200330667,91.62879512557626,380.87585767949633
price_sq,-1363.2278432558905,514.1650375469804,0.008017239057910951,-2370.972798957657,-355.4828875541242
log_volume,-0.062046495564123456,0.11750792043901356,0.5974856707271272,-0.2923577875227881,0.16826479639454123
days_to_resolution,-0.014725505888672025,0.016807899077728717,0.3809722605808449,-0.0476683827368043,0.01821737095946025
days_missing,-18.34312134590855,1.0986938828991728,1.4159424155921838e-62,-20.496521786425397,-16.189720905391702
