,coefficient,std_error,p_value,ci_low,ci_high
C(market_id)[T.513091],-0.010078671387563968,0.0027117877231561615,0.00020190962476777268,-0.01539367765866792,-0.004763665116460016
C(market_id)[T.513125],-0.0206582057837685,0.015986641264263284,0.19628208899721777,-0.05199144689548641,0.01067503532794941
C(market_id)[T.513334],0.16345197087270738,0.006531749846880193,3.332173352484213e-138,0.1506499764167972,0.17625396532861756
C(market_id)[T.513448],0.0010955483133346369,0.007843222642745461,0.8889121265296047,-0.01427688558917553,0.016467982215844803
C(market_id)[T.513494],0.9783499731953235,0.005968927236262851,0.0,0.966651090785908,0.9900488556047389
C(market_id)[T.514138],0.018297270525031516,0.007164735981890346,0.010655581828921143,0.004254646041788216,0.03233989500827482
C(market_id)[T.514139],0.006806969371139031,0.005716560365184244,0.2337534521842427,-0.004397283060071225,0.01801122180234929
C(market_id)[T.514497],-0.011597882816179456,0.010446600311579192,0.26691008350156165,-0.032072843187759575,0.008877077555400665
C(market_id)[T.514550],-0.003901429435472341,0.003679552269046513,0.2890081189037609,-0.011113219362036141,0.003310360491091459
C(market_id)[T.514580],-0.015857461938658182,0.007227822142701767,0.028239187825465834,-0.03002373302501477,-0.001691190852301596
C(market_id)[T.514670],0.015280797917139238,0.004999036615075849,0.0022375189036950597,0.005482866194193553,0.025078729640084924
C(market_id)[T.514672],-0.016524270452661312,0.00728637543410692,0.023339489385626033,-0.030805303881348278,-0.002243237023974347
C(market_id)[T.514824],0.9846180350533045,0.006017554753590209,0.0,0.9728238444612699,0.996412225645339
C(market_id)[T.515427],-0.022228120288982765,0.005958765997625643,0.00019123464960945258,-0.03390708703663091,-0.01054915354133462
C(market_id)[T.515446],-0.009307776338239718,0.005112850882912132,0.0686879163989919,-0.019328779927071313,0.0007132272505918774
C(market_id)[T.515473],-0.008251580793663608,0.003929712825363115,0.03574711451344033,-0.015953676400960452,-0.0005494851863667646
C(market_id)[T.515766],0.004735225301263499,0.005176266610020973,0.3602990078255376,-0.005410070828754844,0.014880521431281843
C(market_id)[T.515796],0.017701226609752607,0.01858358920043087,0.3408337035612006,-0.0187219389265794,0.05412439214608461
C(market_id)[T.515822],-0.027528525394754408,0.01620814029990539,0.08942507860647429,-0.059295896638941206,0.0042388458494323905
C(market_id)[T.515840],0.004137504984311365,0.012267868029444615,0.7359182184546013,-0.019907074520490443,0.028182084489113173
C(market_id)[T.515862],-0.006732565075230283,0.0038248148825227534,0.07836832217812342,-0.014229064492507677,0.0007639343420471111
C(market_id)[T.515879],0.010642845513552008,0.009574838745600698,0.2663346681366079,-0.00812349358560403,0.029409184612708045
C(market_id)[T.515897],0.012410949718277952,0.010215789409155764,0.22441218094673565,-0.007611629597313065,0.032433529033868966
C(market_id)[T.515939],-0.016664135041023025,0.0034642957814527316,1.5074027388738034e-06,-0.023454030004464423,-0.009874240077581628
C(market_id)[T.516008],0.030509943477027082,0.016773962108103054,0.06892865464784118,-0.0023664181328944614,0.06338630508694862
C(market_id)[T.516009],0.017124903308849082,0.009071548788229966,0.059058231135776296,-0.0006550056000796216,0.03490481221777779
C(market_id)[T.516010],0.00906502657339038,0.0042983425322520785,0.034948152806140186,0.0006404300169596117,0.01748962312982115
C(market_id)[T.516184],0.02401869954408472,0.028119417488339345,0.39301204987386196,-0.03109434599930614,0.07913174508747559
C(market_id)[T.516186],0.0008322215364611786,0.014117132645982973,0.9529909983029988,-0.026836850014640087,0.028501293087562444
C(market_id)[T.516315],-0.007488685403698873,0.012676809762450569,0.5546953398496866,-0.032334775976967746,0.017357405169569996
C(market_id)[T.516468],-0.012524525996844626,0.008273894887454582,0.13009178484176864,-0.02874106198812569,0.003692009994436439
C(market_id)[T.516497],-0.012108372168758012,0.00941688454409154,0.19850760547715396,-0.030565126721749318,0.006348382384233292
C(market_id)[T.516714],-0.006522535702600774,0.0012179435256229815,8.538249193513918e-08,-0.008909661148025555,-0.004135410257175993
C(market_id)[T.516716],-0.0037925852939820967,0.010153485227739352,0.7087573959907685,-0.023693050657910695,0.0161078800699465
C(market_id)[T.516717],-0.0018777536726018711,0.006097666765431954,0.7581232249860178,-0.013828960922575347,0.010073453577371605
C(market_id)[T.516719],0.0172689628813174,0.007667724808133091,0.024311999833366748,0.002240498414012245,0.03229742734862255
C(market_id)[T.516925],0.01823192054442539,0.01455883349014289,0.21046323681840517,-0.010302868753170252,0.046766709842021026
C(market_id)[T.516947],0.011512151065189723,0.004854579614382041,0.017720831736261423,0.0019973498609185784,0.02102695226946087
