label,cutoff,trades,wins,win_rate,expected_rate,ci_low,ci_high
All bets,1000.0,1988,52,0.026156941649899398,0.051043268608106124,0.020002329478575862,0.034139325159021836
Largest 25%,2489.5,497,15,0.030181086519114688,0.05326585868131075,0.018373793014349354,0.049195674058673325
Largest 10%,4302.558,199,7,0.035175879396984924,0.054756777169800194,0.0171415481339399,0.07081674050113299
Largest 5%,5398.844499999998,100,6,0.06,0.05733537936249704,0.02778574526665662,0.12476968531222507
Largest 2.5%,8898.557499999999,50,0,0.0,0.0590882151530897,0.0,0.07135003417431873
Largest 1%,10232.3738,20,0,0.0,0.07165526966941757,-1.3877787807814457e-17,0.16113012549493322
